IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
152.70.106.195,2086,2086,false,NRT,Asia Pacific,Tokyo,69,11.75
141.147.191.211,8443,8443,true,NRT,Asia Pacific,Tokyo,80,11.75
140.238.40.136,2086,2086,false,NRT,Asia Pacific,Tokyo,68,11.73
132.145.112.247,2095,2095,false,NRT,Asia Pacific,Tokyo,71,11.72
155.248.165.169,2082,2082,false,NRT,Asia Pacific,Tokyo,70,11.68
158.101.140.255,80,80,false,NRT,Asia Pacific,Tokyo,72,11.68
132.145.112.247,2082,2082,false,NRT,Asia Pacific,Tokyo,69,11.68
168.138.195.31,8443,8443,true,NRT,Asia Pacific,Tokyo,71,11.62
146.56.130.156,443,443,true,SIN,Asia Pacific,Singapore,103,11.62
132.145.120.182,2082,2082,false,NRT,Asia Pacific,Tokyo,71,11.60
140.238.41.253,2096,2096,true,NRT,Asia Pacific,Tokyo,72,11.60
132.145.112.247,2052,2052,false,NRT,Asia Pacific,Tokyo,71,11.57
132.145.127.21,8443,8443,true,NRT,Asia Pacific,Tokyo,70,11.55
168.138.195.31,2053,2053,true,NRT,Asia Pacific,Tokyo,81,11.53
140.238.48.97,2096,2096,true,NRT,Asia Pacific,Tokyo,112,11.50
158.101.146.160,8880,8880,false,NRT,Asia Pacific,Tokyo,71,11.50
131.186.62.26,80,80,false,NRT,Asia Pacific,Tokyo,72,11.46
152.70.155.147,80,80,false,LAX,North America,Los Angeles,193,11.45
140.238.33.94,2083,2083,true,NRT,Asia Pacific,Tokyo,179,11.44
158.101.146.160,2087,2087,true,NRT,Asia Pacific,Tokyo,75,11.44
140.238.50.32,2086,2086,false,NRT,Asia Pacific,Tokyo,70,11.43
158.101.159.181,2087,2087,true,NRT,Asia Pacific,Tokyo,86,11.39
64.110.76.107,443,443,true,SIN,Asia Pacific,Singapore,163,11.39
141.147.191.211,2096,2096,true,NRT,Asia Pacific,Tokyo,91,11.37
152.70.99.218,80,80,false,NRT,Asia Pacific,Tokyo,71,11.31
158.101.157.173,2053,2053,true,NRT,Asia Pacific,Tokyo,75,11.31
150.230.47.17,443,443,true,SJC,North America,San Jose,180,11.29
129.154.223.217,443,443,true,SIN,Asia Pacific,Singapore,141,11.29
